epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5592.93,1.55083,0.84723,1.47974,0.92617,0.88886,0.94553,0.53806,1.58808,0.80913,1.53189,0.0011882,0.0011882,0.0011882
43,5890.99,1.55022,0.84267,1.46847,0.93667,0.91454,0.95693,0.53939,1.53571,0.80075,1.49443,0.0011684,0.0011684,0.0011684
44,6045.14,1.54323,0.83423,1.46059,0.93216,0.89833,0.94767,0.53958,1.57665,0.80385,1.53159,0.0011486,0.0011486,0.0011486
45,6139.28,1.55942,0.84938,1.47464,0.95123,0.92358,0.96572,0.56592,1.5041,0.76327,1.46519,0.0011288,0.0011288,0.0011288
46,6821.43,1.55672,0.8526,1.48133,0.93542,0.91985,0.95776,0.5451,1.55271,0.7863,1.50998,0.001109,0.001109,0.001109
47,6922.93,1.52963,0.82544,1.4491,0.95126,0.92284,0.96359,0.56282,1.50394,0.74469,1.47291,0.0010892,0.0010892,0.0010892
48,7115.78,1.53206,0.82042,1.45667,0.93019,0.90936,0.95732,0.55875,1.51878,0.7866,1.48187,0.0010694,0.0010694,0.0010694
49,7216.78,1.52399,0.82136,1.45822,0.94603,0.92173,0.9599,0.55797,1.52876,0.75078,1.49204,0.0010496,0.0010496,0.0010496
50,7386.19,1.51257,0.81221,1.44463,0.94717,0.91896,0.96214,0.5643,1.52654,0.74241,1.48559,0.0010298,0.0010298,0.0010298
51,7526.09,1.50764,0.79796,1.43827,0.94606,0.9234,0.96096,0.55438,1.52806,0.74671,1.48722,0.00101,0.00101,0.00101
52,7625.47,1.52196,0.80161,1.44506,0.93358,0.91228,0.95571,0.55487,1.53811,0.75563,1.4963,0.0009902,0.0009902,0.0009902
53,8042.94,1.52732,0.83334,1.45534,0.94625,0.92678,0.96345,0.5611,1.50735,0.72895,1.46858,0.0009704,0.0009704,0.0009704
54,8169.07,1.51352,0.797,1.45125,0.94308,0.92311,0.96269,0.55826,1.50652,0.7453,1.4748,0.0009506,0.0009506,0.0009506
55,8256.09,1.51155,0.7953,1.44341,0.94068,0.9144,0.95889,0.5631,1.54399,0.74145,1.50315,0.0009308,0.0009308,0.0009308
56,8366.18,1.50802,0.80651,1.43545,0.94318,0.92368,0.96077,0.55201,1.56518,0.75273,1.52793,0.000911,0.000911,0.000911
57,9131.05,1.53162,0.80662,1.45623,0.94977,0.92162,0.96316,0.56299,1.55196,0.72794,1.51027,0.0008912,0.0008912,0.0008912
58,9230.01,1.50488,0.7939,1.43721,0.94664,0.92145,0.96315,0.56542,1.5227,0.74092,1.48944,0.0008714,0.0008714,0.0008714
59,9334.26,1.51796,0.79026,1.45099,0.91087,0.90814,0.94988,0.54907,1.52845,0.76323,1.49753,0.0008516,0.0008516,0.0008516
60,9464.54,1.50683,0.77822,1.43895,0.95487,0.92525,0.96251,0.56976,1.54395,0.72252,1.50579,0.0008318,0.0008318,0.0008318
61,9562.79,1.49243,0.76745,1.42312,0.95122,0.92368,0.96436,0.56253,1.53554,0.72424,1.49631,0.000812,0.000812,0.000812
62,9952.76,1.49398,0.77358,1.42375,0.94863,0.9208,0.96079,0.56703,1.56691,0.72553,1.53088,0.0007922,0.0007922,0.0007922
63,10040.4,1.48536,0.76374,1.41712,0.95114,0.92716,0.96524,0.56988,1.51211,0.70843,1.47757,0.0007724,0.0007724,0.0007724
64,10178.8,1.47549,0.76397,1.41313,0.94991,0.92981,0.96261,0.5661,1.50022,0.71363,1.47608,0.0007526,0.0007526,0.0007526
65,10272.6,1.48385,0.76628,1.42148,0.95872,0.93259,0.96997,0.57393,1.52081,0.70398,1.48415,0.0007328,0.0007328,0.0007328
66,10376.2,1.49734,0.79129,1.44127,0.95934,0.92674,0.96372,0.5746,1.5112,0.70658,1.47223,0.000713,0.000713,0.000713
67,10553,1.47675,0.75958,1.41217,0.93122,0.92423,0.95941,0.55888,1.51052,0.7398,1.48262,0.0006932,0.0006932,0.0006932
68,10679.3,1.46659,0.76753,1.41142,0.95324,0.92507,0.96474,0.569,1.51726,0.72424,1.47871,0.0006734,0.0006734,0.0006734
69,10766.7,1.47477,0.76476,1.42211,0.94846,0.92674,0.96344,0.57434,1.53837,0.72111,1.49922,0.0006536,0.0006536,0.0006536
70,10897,1.47826,0.7653,1.42121,0.95704,0.93315,0.96667,0.57287,1.53317,0.70121,1.49681,0.0006338,0.0006338,0.0006338
71,10994.3,1.46326,0.74151,1.4167,0.95787,0.92953,0.96599,0.57805,1.52388,0.69871,1.48291,0.000614,0.000614,0.000614
72,11081.6,1.47526,0.74717,1.42148,0.96029,0.92841,0.96579,0.57261,1.5166,0.70747,1.48375,0.0005942,0.0005942,0.0005942
73,11168.4,1.46647,0.74072,1.40901,0.9548,0.93008,0.96396,0.56616,1.5615,0.71613,1.5187,0.0005744,0.0005744,0.0005744
74,11267.7,1.46617,0.7432,1.41781,0.95194,0.9273,0.9632,0.57018,1.53931,0.71129,1.49694,0.0005546,0.0005546,0.0005546
75,11354.7,1.44708,0.73425,1.40181,0.95352,0.93149,0.9646,0.57733,1.51698,0.69526,1.47471,0.0005348,0.0005348,0.0005348
76,11441.9,1.48055,0.75225,1.42295,0.95553,0.92925,0.96347,0.58212,1.511,0.69901,1.47523,0.000515,0.000515,0.000515
77,11575.5,1.45463,0.7485,1.40271,0.95344,0.924,0.96093,0.56548,1.56423,0.70887,1.51929,0.0004952,0.0004952,0.0004952
78,12192.5,1.4507,0.7328,1.39981,0.94552,0.92228,0.96054,0.56356,1.55434,0.71802,1.51334,0.0004754,0.0004754,0.0004754
79,12325.7,1.47194,0.74499,1.413,0.95381,0.92612,0.96041,0.57585,1.55978,0.69908,1.51345,0.0004556,0.0004556,0.0004556
80,12412.9,1.46161,0.73873,1.40881,0.95645,0.92981,0.96496,0.57554,1.5075,0.69388,1.47191,0.0004358,0.0004358,0.0004358
81,12499.8,1.4435,0.74021,1.39499,0.95676,0.92813,0.96455,0.57353,1.51624,0.69063,1.48454,0.000416,0.000416,0.000416
82,12636.5,1.44863,0.72889,1.39873,0.95409,0.92612,0.96291,0.57244,1.51432,0.70087,1.4807,0.0003962,0.0003962,0.0003962
83,13255.2,1.44442,0.72244,1.39009,0.96042,0.93287,0.9684,0.58159,1.53887,0.67852,1.48902,0.0003764,0.0003764,0.0003764
84,13366.7,1.44257,0.71984,1.39728,0.95094,0.934,0.96633,0.57117,1.54593,0.69359,1.50212,0.0003566,0.0003566,0.0003566
85,13820.3,1.43604,0.71726,1.38825,0.95966,0.93398,0.96698,0.57793,1.5166,0.692,1.47819,0.0003368,0.0003368,0.0003368
86,13980.3,1.45299,0.72974,1.40337,0.96026,0.92895,0.96516,0.58153,1.51589,0.68199,1.47482,0.000317,0.000317,0.000317
87,14226.7,1.43569,0.72082,1.39445,0.9507,0.92758,0.96004,0.56718,1.59039,0.70643,1.54469,0.0002972,0.0002972,0.0002972
88,14332.3,1.44414,0.72357,1.39952,0.95812,0.93315,0.96522,0.58169,1.50878,0.68303,1.46719,0.0002774,0.0002774,0.0002774
89,15178.7,1.43004,0.71855,1.38833,0.95449,0.93398,0.9662,0.57875,1.51873,0.68825,1.48223,0.0002576,0.0002576,0.0002576
90,15265.7,1.42829,0.7067,1.3837,0.95515,0.93092,0.96462,0.57872,1.52478,0.68302,1.48196,0.0002378,0.0002378,0.0002378
91,15366.5,1.48513,0.71348,1.45273,0.95505,0.9337,0.96641,0.58133,1.4994,0.67214,1.46892,0.000218,0.000218,0.000218
92,15443.7,1.47237,0.71683,1.45167,0.95227,0.93426,0.96763,0.57773,1.5194,0.68298,1.48109,0.0001982,0.0001982,0.0001982
93,15521.1,1.45911,0.7047,1.42892,0.95742,0.93593,0.96982,0.58541,1.50223,0.6626,1.45934,0.0001784,0.0001784,0.0001784
94,15598.5,1.45556,0.69673,1.43049,0.96487,0.93342,0.9706,0.58794,1.50568,0.66053,1.46332,0.0001586,0.0001586,0.0001586
95,15675.9,1.4596,0.68341,1.42832,0.95615,0.9354,0.96924,0.58227,1.52593,0.65844,1.48348,0.0001388,0.0001388,0.0001388
96,15753.2,1.45976,0.69394,1.43037,0.95503,0.93538,0.9669,0.57929,1.5158,0.65681,1.47592,0.000119,0.000119,0.000119
97,15830.5,1.45152,0.68459,1.43164,0.95119,0.93259,0.96585,0.57692,1.51012,0.66436,1.47763,9.92e-05,9.92e-05,9.92e-05
98,15907.8,1.45476,0.70431,1.43191,0.95735,0.93796,0.96796,0.58492,1.50592,0.6516,1.46408,7.94e-05,7.94e-05,7.94e-05
99,15985,1.47319,0.82299,1.43527,0.95779,0.93315,0.9674,0.57679,1.51754,0.662,1.47958,5.96e-05,5.96e-05,5.96e-05
100,16062.5,1.44278,0.68366,1.42637,0.95718,0.934,0.96578,0.58115,1.50497,0.66159,1.4699,3.98e-05,3.98e-05,3.98e-05
