epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.6977,3.21713,3.68363,3.48706,0.02421,0.14909,0.01345,0.00434,3.1926,inf,4.21271,0.000663399,0.000663399,0.000663399
2,110.394,2.4439,1.87786,2.32305,0.29187,0.38018,0.23746,0.06232,2.50635,2.74955,2.2783,0.00131251,0.00131251,0.00131251
3,163.749,2.22793,1.65681,2.06637,0.55576,0.5966,0.57066,0.19005,2.12316,1.76262,2.03781,0.00194402,0.00194402,0.00194402
4,216.222,2.12335,1.55401,1.94565,0.60586,0.60335,0.6269,0.23334,2.1307,1.48773,1.97234,0.0019208,0.0019208,0.0019208
5,268.279,2.04187,1.45773,1.86331,0.66349,0.69001,0.70928,0.27875,2.06509,1.39445,1.92601,0.0018944,0.0018944,0.0018944
6,321.078,2.00697,1.38677,1.80578,0.71495,0.73479,0.76825,0.3324,1.94207,1.46449,1.82335,0.001868,0.001868,0.001868
7,373.536,1.94908,1.3327,1.75548,0.66345,0.6737,0.68303,0.26776,2.07686,1.35901,1.88677,0.0018416,0.0018416,0.0018416
8,427.113,1.91142,1.28727,1.7087,0.77795,0.77403,0.82526,0.38225,1.87959,1.25072,1.74424,0.0018152,0.0018152,0.0018152
9,480.961,1.88898,1.24063,1.68023,0.63284,0.67037,0.64907,0.24518,2.23859,1.53069,1.95542,0.0017888,0.0017888,0.0017888
10,533.456,1.83489,1.19811,1.63987,0.82392,0.80474,0.86549,0.4232,1.80266,1.15511,1.67735,0.0017624,0.0017624,0.0017624
11,587.359,1.83361,1.1724,1.62282,0.82473,0.81761,0.86773,0.39895,1.86872,1.19394,1.71187,0.001736,0.001736,0.001736
12,640.802,1.79517,1.15621,1.60407,0.87053,0.83143,0.89042,0.4505,1.78804,1.09106,1.62188,0.0017096,0.0017096,0.0017096
13,693.673,1.79666,1.10712,1.57941,0.86631,0.83511,0.90088,0.4654,1.72011,1.05522,1.57681,0.0016832,0.0016832,0.0016832
14,746.393,1.75949,1.07157,1.55275,0.88495,0.87612,0.91812,0.4813,1.70721,0.99893,1.56679,0.0016568,0.0016568,0.0016568
15,799.641,1.75123,1.06789,1.53853,0.84141,0.81635,0.87474,0.4407,1.82169,1.08269,1.65015,0.0016304,0.0016304,0.0016304
16,852.177,1.74513,1.07786,1.53933,0.88651,0.87478,0.91781,0.48174,1.71525,1.04126,1.59022,0.001604,0.001604,0.001604
17,904.677,1.71147,1.03805,1.50928,0.80431,0.79088,0.84246,0.40682,1.85071,1.10344,1.68506,0.0015776,0.0015776,0.0015776
18,957.39,1.68339,1.00142,1.50037,0.85878,0.87313,0.90617,0.47066,1.73782,1.05532,1.62292,0.0015512,0.0015512,0.0015512
19,1010.2,1.69556,1.0133,1.49816,0.82502,0.84177,0.87077,0.41696,1.84872,1.0957,1.65489,0.0015248,0.0015248,0.0015248
20,1063.51,1.6696,0.9802,1.47468,0.83035,0.84046,0.88035,0.45531,1.71777,0.99608,1.5355,0.0014984,0.0014984,0.0014984
21,1116.84,1.64813,0.9587,1.45834,0.9018,0.89472,0.93159,0.50102,1.68723,0.94091,1.54162,0.001472,0.001472,0.001472
22,1170,1.65617,0.95116,1.46651,0.85511,0.85813,0.89841,0.46408,1.72335,0.96016,1.56865,0.0014456,0.0014456,0.0014456
23,1222.82,1.66838,0.96718,1.46547,0.90498,0.90723,0.93661,0.53435,1.6184,0.8813,1.47922,0.0014192,0.0014192,0.0014192
24,1275.88,1.65459,0.94138,1.45481,0.90442,0.90091,0.93323,0.51417,1.6538,0.91176,1.51377,0.0013928,0.0013928,0.0013928
