epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5297.1,1.65548,0.9167,1.66316,0.91916,0.88914,0.94097,0.52311,1.60433,0.93753,1.65746,0.0011882,0.0011882,0.0011882
43,5421.41,1.65407,0.92255,1.65684,0.91083,0.88301,0.93708,0.51669,1.62896,0.93086,1.67295,0.0011684,0.0011684,0.0011684
44,5546.72,1.65967,0.95338,1.66322,0.91562,0.88301,0.93722,0.51603,1.65687,0.94023,1.69451,0.0011486,0.0011486,0.0011486
45,5673.75,1.65677,0.93796,1.64932,0.91103,0.88419,0.93798,0.51383,1.62581,1.31076,1.66836,0.0011288,0.0011288,0.0011288
46,5799.84,1.66264,0.98414,1.66509,0.90922,0.87879,0.93317,0.52142,1.62259,1.0747,1.66511,0.001109,0.001109,0.001109
47,5926.3,1.6439,0.90197,1.64171,0.92663,0.90474,0.94893,0.53782,1.58129,0.84635,1.62395,0.0010892,0.0010892,0.0010892
48,6051.35,1.63483,0.91066,1.64336,0.91863,0.87939,0.9402,0.52476,1.60687,1.45065,1.65107,0.0010694,0.0010694,0.0010694
49,6176.52,1.63115,0.90721,1.64566,0.90673,0.88886,0.93896,0.53094,1.59858,0.9178,1.62276,0.0010496,0.0010496,0.0010496
50,6301.35,1.63319,0.90081,1.63953,0.92532,0.90084,0.94588,0.5359,1.59068,0.88318,1.62503,0.0010298,0.0010298,0.0010298
51,6427.03,1.63853,0.89218,1.63894,0.92474,0.90018,0.94973,0.53591,1.59935,1.06261,1.63551,0.00101,0.00101,0.00101
52,6552.56,1.64668,1.02965,1.64549,0.86194,0.84011,0.90153,0.4678,1.74349,0.94721,1.72744,0.0009902,0.0009902,0.0009902
53,6678.37,1.65361,1.12567,1.6509,0.916,0.89606,0.94409,0.53532,1.59474,1.25101,1.62625,0.0009704,0.0009704,0.0009704
54,6803.21,1.6287,0.89939,1.6374,0.9303,0.88942,0.94688,0.5208,1.63036,0.93235,1.6715,0.0009506,0.0009506,0.0009506
55,6928.32,1.62147,0.88516,1.62087,0.93304,0.90821,0.9513,0.54364,1.6004,0.81615,1.63725,0.0009308,0.0009308,0.0009308
56,7053.24,1.60764,1.17505,1.63205,0.93729,0.89509,0.95139,0.53916,1.57119,0.83951,1.61647,0.000911,0.000911,0.000911
57,7178.89,1.62672,0.993,1.63258,0.91807,0.88955,0.94038,0.51607,1.63926,1.10602,1.66676,0.0008912,0.0008912,0.0008912
58,7303.76,1.62638,0.88813,1.63003,0.93698,0.91031,0.95352,0.54407,1.59094,0.82321,1.62525,0.0008714,0.0008714,0.0008714
59,7428.26,1.59562,0.9505,1.60258,0.93732,0.90501,0.95603,0.54457,1.56379,0.80222,1.61438,0.0008516,0.0008516,0.0008516
60,7553.06,1.61034,0.86315,1.6266,0.91931,0.90669,0.9499,0.54434,1.54021,1.32401,1.60041,0.0008318,0.0008318,0.0008318
61,7679.36,1.59832,1.06646,1.6128,0.91063,0.90223,0.94528,0.52335,1.58174,1.33195,1.62508,0.000812,0.000812,0.000812
62,7806.24,1.59617,0.85779,1.59536,0.93063,0.90557,0.95069,0.54177,1.59316,1.51626,1.63627,0.0007922,0.0007922,0.0007922
63,7932.49,1.58733,0.88104,1.60551,0.93801,0.91671,0.95629,0.55435,1.55342,1.16809,1.5925,0.0007724,0.0007724,0.0007724
64,8058.59,1.56896,0.82826,1.58845,0.93551,0.90919,0.95318,0.54197,1.59192,0.84368,1.62913,0.0007526,0.0007526,0.0007526
65,8183.98,1.60189,0.99763,1.61546,0.93665,0.90056,0.95253,0.55074,1.55104,1.03035,1.59586,0.0007328,0.0007328,0.0007328
66,8309.16,1.59437,1.07987,1.60591,0.94476,0.91001,0.95854,0.54423,1.55486,0.84458,1.60492,0.000713,0.000713,0.000713
67,8434.59,1.58722,1.03688,1.59505,0.93788,0.91838,0.95633,0.55131,1.56723,0.79359,1.59696,0.0006932,0.0006932,0.0006932
68,8560.2,1.58157,0.84887,1.58769,0.94539,0.91147,0.95854,0.55323,1.57541,0.8,1.61059,0.0006734,0.0006734,0.0006734
69,8686.82,1.58252,0.83828,1.58872,0.9319,0.91103,0.95686,0.5578,1.54337,0.94669,1.58769,0.0006536,0.0006536,0.0006536
70,8812.88,1.56633,1.12269,1.58849,0.94077,0.90699,0.95695,0.55394,1.58727,0.89837,1.61378,0.0006338,0.0006338,0.0006338
71,8939.46,1.57256,0.8252,1.57912,0.9396,0.91198,0.9572,0.55791,1.55996,0.81072,1.59077,0.000614,0.000614,0.000614
72,9065.33,1.57072,0.82173,1.59351,0.94634,0.91643,0.96015,0.55509,1.55987,0.80032,1.60032,0.0005942,0.0005942,0.0005942
73,9191.92,1.57258,0.95577,1.59145,0.94104,0.91838,0.96056,0.56278,1.54482,0.78889,1.59162,0.0005744,0.0005744,0.0005744
74,9318.27,1.57662,1.02324,1.58918,0.94167,0.91226,0.95764,0.54937,1.55777,0.79509,1.60743,0.0005546,0.0005546,0.0005546
75,9444.26,1.5622,1.02699,1.57,0.92988,0.91978,0.95836,0.55807,1.5546,1.04164,1.5965,0.0005348,0.0005348,0.0005348
76,9569.8,1.57422,1.00243,1.59049,0.93681,0.90724,0.95635,0.54486,1.57963,0.85914,1.62494,0.000515,0.000515,0.000515
77,9694.82,1.57834,0.82832,1.59532,0.94448,0.91421,0.95997,0.56054,1.55004,0.76115,1.58981,0.0004952,0.0004952,0.0004952
78,9820.3,1.56522,0.80336,1.57925,0.94353,0.91688,0.95989,0.5613,1.56041,0.96721,1.60122,0.0004754,0.0004754,0.0004754
79,9945.9,1.55681,0.81613,1.57167,0.94502,0.91031,0.95762,0.56257,1.558,0.79732,1.60366,0.0004556,0.0004556,0.0004556
80,10071.1,1.56461,0.89217,1.59251,0.94952,0.91167,0.95764,0.56346,1.54971,0.98138,1.58941,0.0004358,0.0004358,0.0004358
81,10196.6,1.54522,0.80522,1.56533,0.94484,0.91613,0.96108,0.56489,1.53783,0.78093,1.58193,0.000416,0.000416,0.000416
82,10321.1,1.5546,0.94035,1.57928,0.9453,0.91365,0.9599,0.56809,1.54508,0.76978,1.57794,0.0003962,0.0003962,0.0003962
83,10446,1.54715,0.81312,1.56519,0.94253,0.92117,0.96107,0.56866,1.54567,0.76423,1.58167,0.0003764,0.0003764,0.0003764
84,10571.5,1.54399,0.82369,1.56334,0.94253,0.92274,0.96148,0.56414,1.55634,0.82385,1.60011,0.0003566,0.0003566,0.0003566
85,10696.1,1.53336,1.0204,1.56386,0.95264,0.91643,0.96132,0.56675,1.53606,0.76281,1.57649,0.0003368,0.0003368,0.0003368
86,10821.7,1.56753,0.83963,1.57423,0.95274,0.91727,0.96179,0.56804,1.5484,0.77254,1.5887,0.000317,0.000317,0.000317
87,10948.2,1.53796,0.80666,1.55465,0.93129,0.91476,0.95595,0.55338,1.58684,1.25361,1.62151,0.0002972,0.0002972,0.0002972
88,11072.7,1.54446,0.78748,1.56508,0.94987,0.91838,0.96099,0.5689,1.55299,0.74017,1.58923,0.0002774,0.0002774,0.0002774
89,11197.7,1.54525,0.88701,1.5584,0.95253,0.92227,0.96368,0.57179,1.53281,0.75125,1.56851,0.0002576,0.0002576,0.0002576
90,11323.2,1.54272,0.79448,1.55716,0.94853,0.92173,0.96239,0.56993,1.53393,0.80397,1.57459,0.0002378,0.0002378,0.0002378
91,11460.6,1.56759,1.1665,1.58258,0.95033,0.90598,0.95624,0.55967,1.56808,0.74249,1.59601,0.000218,0.000218,0.000218
92,11574.5,1.55435,1.23324,1.58052,0.95142,0.90565,0.95518,0.5604,1.56256,0.7472,1.58363,0.0001982,0.0001982,0.0001982
93,11688.1,1.54803,1.18083,1.56144,0.94926,0.91722,0.95722,0.56354,1.58716,0.73919,1.60559,0.0001784,0.0001784,0.0001784
94,11801.8,1.54603,1.14364,1.56329,0.95413,0.91811,0.96003,0.5633,1.58311,0.73621,1.59985,0.0001586,0.0001586,0.0001586
95,11915.4,1.5435,1.0859,1.55088,0.95153,0.91315,0.95817,0.56216,1.59865,0.73709,1.61084,0.0001388,0.0001388,0.0001388
96,12028.8,1.53306,1.12307,1.55205,0.95213,0.91309,0.96044,0.56462,1.58515,0.73748,1.59432,0.000119,0.000119,0.000119
97,12142,1.53121,1.14764,1.55281,0.94788,0.91699,0.95899,0.56303,1.59121,0.75348,1.60933,9.92e-05,9.92e-05,9.92e-05
98,12255.8,1.5283,1.14905,1.54507,0.94937,0.91393,0.95916,0.56517,1.56388,0.73878,1.57966,7.94e-05,7.94e-05,7.94e-05
99,12368.9,1.54539,1.09103,1.55747,0.95258,0.91699,0.96012,0.56434,1.58382,0.75059,1.60453,5.96e-05,5.96e-05,5.96e-05
100,12481.9,1.52212,1.10061,1.544,0.95192,0.91448,0.95869,0.56323,1.57597,0.74791,1.59754,3.98e-05,3.98e-05,3.98e-05
