epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.5129,3.35667,3.4865,3.64571,0.02564,0.14429,0.01333,0.00392,3.4808,inf,4.99652,0.000663399,0.000663399,0.000663399
2,121.767,2.52931,1.92978,2.37774,0.39663,0.54055,0.40551,0.12612,2.28898,1.99071,2.26654,0.00131251,0.00131251,0.00131251
3,177.56,2.27054,1.68728,2.09783,0.43101,0.49252,0.41653,0.1396,2.28156,2.245,2.11593,0.00194402,0.00194402,0.00194402
4,231.507,2.19444,1.60237,1.9832,0.69521,0.6348,0.70773,0.28905,2.00788,1.42442,1.92366,0.0019208,0.0019208,0.0019208
5,285.955,2.09061,1.49266,1.896,0.7413,0.6863,0.76472,0.30424,2.00724,1.3455,1.91866,0.0018944,0.0018944,0.0018944
6,340.31,2.04765,1.4277,1.83759,0.70296,0.68226,0.7423,0.29856,2.03885,1.34697,1.94055,0.001868,0.001868,0.001868
7,393.989,1.99288,1.35247,1.79355,0.8203,0.75494,0.84323,0.38854,1.85949,1.23585,1.78298,0.0018416,0.0018416,0.0018416
8,448.054,1.96458,1.31586,1.75465,0.85198,0.78566,0.87865,0.41059,1.86464,1.16173,1.75985,0.0018152,0.0018152,0.0018152
9,503.157,1.92958,1.27494,1.7141,0.85087,0.81601,0.89204,0.43086,1.83857,1.1263,1.73589,0.0017888,0.0017888,0.0017888
10,557.146,1.88782,1.2262,1.68039,0.67978,0.70872,0.72897,0.29952,1.98555,1.37903,1.86073,0.0017624,0.0017624,0.0017624
11,612.139,1.86275,1.18933,1.65663,0.81111,0.77512,0.85281,0.40491,1.89191,1.15984,1.74445,0.001736,0.001736,0.001736
12,666.655,1.84294,1.17999,1.64355,0.80263,0.75703,0.82041,0.35625,2.0044,1.25065,1.82954,0.0017096,0.0017096,0.0017096
13,721.414,1.8259,1.16646,1.62078,0.65283,0.66663,0.67086,0.26019,2.05554,1.37803,1.87575,0.0016832,0.0016832,0.0016832
14,775.898,1.78865,1.11218,1.58704,0.87503,0.84938,0.91491,0.48566,1.7112,1.04532,1.63905,0.0016568,0.0016568,0.0016568
15,831.476,1.76761,1.08385,1.57127,0.84605,0.81969,0.88825,0.44176,1.79217,1.15624,1.70463,0.0016304,0.0016304,0.0016304
