epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.1873,3.24882,3.75142,3.49916,0.02627,0.08521,0.01306,0.00416,nan,nan,nan,0.000663399,0.000663399,0.000663399
2,123.583,2.45753,1.89279,2.29692,0.39193,0.44043,0.35953,0.11665,2.26385,1.80738,2.16377,0.00131251,0.00131251,0.00131251
3,175.819,2.21555,1.68038,2.03452,0.36605,0.42152,0.31444,0.08999,2.31003,1.90921,2.0985,0.00194402,0.00194402,0.00194402
4,228.011,2.14134,1.57827,1.92498,0.6548,0.58878,0.65211,0.24748,2.05228,1.47658,1.91726,0.0019208,0.0019208,0.0019208
5,280.148,2.05226,1.50389,1.85767,0.73885,0.71022,0.78217,0.3309,1.93584,1.41839,1.83993,0.0018944,0.0018944,0.0018944
6,332.027,2.02204,1.42226,1.81308,0.53522,0.58352,0.53867,0.18849,2.14874,1.52305,1.95774,0.001868,0.001868,0.001868
7,383.847,1.98318,1.36457,1.78288,0.67833,0.70865,0.70955,0.27903,1.98477,1.35003,1.87953,0.0018416,0.0018416,0.0018416
8,435.991,1.9468,1.31372,1.72906,0.75963,0.71257,0.77846,0.31524,2.02948,1.26885,1.84302,0.0018152,0.0018152,0.0018152
9,488.851,1.8939,1.24631,1.6856,0.83965,0.79651,0.87655,0.42213,1.82343,1.15386,1.71714,0.0017888,0.0017888,0.0017888
10,541.528,1.89125,1.22845,1.67679,0.77723,0.78705,0.83424,0.36321,1.89579,1.20291,1.80407,0.0017624,0.0017624,0.0017624
11,594.985,1.84606,1.18603,1.64431,0.85379,0.83407,0.89622,0.42952,1.86237,1.0766,1.74262,0.001736,0.001736,0.001736
12,647.476,1.84105,1.17976,1.6486,0.86946,0.84196,0.90707,0.45701,1.78366,1.00527,1.66866,0.0017096,0.0017096,0.0017096
13,700.454,1.79202,1.11979,1.59568,0.84227,0.82821,0.89403,0.45,1.72825,1.07552,1.6454,0.0016832,0.0016832,0.0016832
14,752.891,1.77228,1.10001,1.57364,0.89211,0.85138,0.92329,0.47125,1.74647,0.96772,1.60808,0.0016568,0.0016568,0.0016568
15,805.557,1.76198,1.08665,1.56454,0.78932,0.77992,0.82623,0.36461,1.96356,1.13645,1.8005,0.0016304,0.0016304,0.0016304
16,857.328,1.76046,1.07573,1.56352,0.84263,0.82836,0.89159,0.42415,1.81378,1.07799,1.69738,0.001604,0.001604,0.001604
17,909.936,1.75302,1.06155,1.55808,0.88566,0.85167,0.91847,0.46641,1.78144,0.95078,1.64973,0.0015776,0.0015776,0.0015776
18,962.551,1.71681,1.03189,1.5371,0.88726,0.87248,0.93041,0.47543,1.71687,0.9623,1.60945,0.0015512,0.0015512,0.0015512
19,1015.07,1.72311,1.03506,1.5321,0.90826,0.89117,0.94439,0.51642,1.65869,0.87942,1.5635,0.0015248,0.0015248,0.0015248
20,1067.55,1.68955,1.00571,1.51318,0.90891,0.89241,0.94486,0.50709,1.66644,0.89844,1.57572,0.0014984,0.0014984,0.0014984
21,1119.7,1.67623,0.99147,1.50307,0.90314,0.8933,0.94423,0.51222,1.66556,0.88972,1.58175,0.001472,0.001472,0.001472
22,1172.03,1.66914,0.97977,1.49776,0.89262,0.87562,0.9349,0.51045,1.64574,0.88289,1.55616,0.0014456,0.0014456,0.0014456
23,1224.78,1.66937,0.97781,1.48348,0.91288,0.8928,0.94793,0.52392,1.63555,0.86623,1.54164,0.0014192,0.0014192,0.0014192
24,1277.03,1.66799,0.96761,1.48344,0.89928,0.88786,0.93801,0.479,1.73395,0.92471,1.61356,0.0013928,0.0013928,0.0013928
25,1329.29,1.64379,0.94704,1.46759,0.90534,0.88626,0.94218,0.518,1.65428,0.87379,1.55629,0.0013664,0.0013664,0.0013664
26,1381.02,1.63832,0.94059,1.46662,0.92338,0.90508,0.95539,0.53979,1.62107,0.84241,1.53154,0.00134,0.00134,0.00134
27,1433.48,1.61727,0.92647,1.4555,0.90715,0.90144,0.95009,0.5159,1.64133,0.86311,1.55337,0.0013136,0.0013136,0.0013136
28,1484.96,1.61315,0.91588,1.45426,0.91432,0.9114,0.95641,0.53799,1.61765,0.84403,1.54037,0.0012872,0.0012872,0.0012872
29,1536.92,1.61215,0.91253,1.44501,0.85346,0.85913,0.90647,0.46473,1.73178,0.91849,1.62183,0.0012608,0.0012608,0.0012608
30,1589.41,1.61301,0.91653,1.44786,0.93866,0.91782,0.9644,0.56423,1.56124,0.78574,1.48781,0.0012344,0.0012344,0.0012344
31,1641.66,1.6117,0.9061,1.44334,0.94434,0.91833,0.96652,0.5631,1.58528,0.75332,1.4926,0.001208,0.001208,0.001208
32,1694.3,1.59786,0.89281,1.43637,0.92434,0.91381,0.95854,0.55246,1.57739,0.8185,1.50681,0.0011816,0.0011816,0.0011816
33,1745.85,1.58655,0.87817,1.433,0.88208,0.87971,0.93293,0.49522,1.67275,0.84782,1.56443,0.0011552,0.0011552,0.0011552
34,1798.03,1.58546,0.8753,1.42849,0.9299,0.91018,0.95894,0.54855,1.63412,0.79898,1.54582,0.0011288,0.0011288,0.0011288
35,1850.27,1.56994,0.86567,1.41956,0.8959,0.89133,0.93907,0.48824,1.71788,0.86363,1.60172,0.0011024,0.0011024,0.0011024
36,1902.6,1.57584,0.86467,1.41538,0.91934,0.91304,0.95754,0.55448,1.57784,0.79842,1.50484,0.001076,0.001076,0.001076
37,1954.48,1.58098,0.87611,1.42714,0.92997,0.91126,0.95963,0.55951,1.58,0.77417,1.49899,0.0010496,0.0010496,0.0010496
38,2006.6,1.57174,0.86526,1.42171,0.9311,0.92725,0.96455,0.56397,1.58143,0.77537,1.51247,0.0010232,0.0010232,0.0010232
39,2058.16,1.55208,0.84109,1.41322,0.91452,0.90939,0.95322,0.53358,1.64117,0.81529,1.55508,0.0009968,0.0009968,0.0009968
40,2110.24,1.57762,0.8518,1.41207,0.93622,0.92658,0.96813,0.57016,1.55508,0.76148,1.48657,0.0009704,0.0009704,0.0009704
41,2162.67,1.55746,0.84439,1.40848,0.92295,0.9136,0.95919,0.54977,1.59418,0.80582,1.51867,0.000944,0.000944,0.000944
42,2215,1.56231,0.8417,1.41259,0.93912,0.93295,0.96857,0.56845,1.57279,0.73671,1.48953,0.0009176,0.0009176,0.0009176
43,2266.97,1.54063,0.82594,1.39763,0.9411,0.92647,0.96547,0.5672,1.58827,0.74887,1.51524,0.0008912,0.0008912,0.0008912
44,2318.05,1.52927,0.82059,1.38896,0.91237,0.91146,0.95321,0.52926,1.63505,0.81484,1.55479,0.0008648,0.0008648,0.0008648
45,2370.22,1.55333,0.83695,1.39391,0.93578,0.92694,0.96701,0.57107,1.54605,0.73861,1.47537,0.0008384,0.0008384,0.0008384
46,2422.16,1.52927,0.81218,1.38658,0.94012,0.93344,0.96901,0.57561,1.55035,0.72723,1.48181,0.000812,0.000812,0.000812
47,2474.17,1.54678,0.82767,1.39524,0.91883,0.91666,0.9584,0.55058,1.6017,0.77638,1.51845,0.0007856,0.0007856,0.0007856
48,2525.89,1.53021,0.81941,1.39135,0.93186,0.91685,0.96161,0.54147,1.60545,0.76331,1.51747,0.0007592,0.0007592,0.0007592
49,2578.43,1.5194,0.80644,1.38354,0.91854,0.91067,0.95539,0.54132,1.62976,0.78268,1.54899,0.0007328,0.0007328,0.0007328
50,2630.74,1.52385,0.81206,1.37656,0.92404,0.92301,0.9614,0.55235,1.59217,0.74191,1.51441,0.0007064,0.0007064,0.0007064
51,2682.68,1.54031,0.81399,1.39128,0.93848,0.93146,0.96863,0.56897,1.56647,0.74112,1.50087,0.00068,0.00068,0.00068
