epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.9534,3.24998,3.74871,3.52599,0.03131,0.1919,0.01696,0.00467,nan,nan,nan,0.000663399,0.000663399,0.000663399
2,117.726,2.47973,1.90591,2.31429,0.37518,0.46365,0.35449,0.10047,2.45644,2.31722,2.30915,0.00131251,0.00131251,0.00131251
3,170.755,2.24794,1.67649,2.05617,0.4499,0.52689,0.45733,0.14779,2.24726,2.20427,2.06226,0.00194402,0.00194402,0.00194402
4,223.355,2.1596,1.593,1.94482,0.65988,0.66216,0.70532,0.27575,2.02986,1.59348,1.92834,0.0019208,0.0019208,0.0019208
5,275.429,2.06035,1.49057,1.84682,0.72864,0.68387,0.76965,0.32221,1.91816,1.39211,1.81221,0.0018944,0.0018944,0.0018944
6,327.787,2.02322,1.41651,1.79605,0.52481,0.59712,0.53223,0.17114,2.25436,1.5593,1.97746,0.001868,0.001868,0.001868
7,380.08,1.97915,1.34184,1.75403,0.80455,0.75107,0.83363,0.36793,1.89303,1.25337,1.77665,0.0018416,0.0018416,0.0018416
8,432.487,1.95835,1.31216,1.7262,0.84731,0.78308,0.86257,0.40879,1.82276,1.21942,1.64687,0.0018152,0.0018152,0.0018152
9,485.552,1.92211,1.27283,1.68481,0.68588,0.63392,0.68748,0.25756,2.12098,1.36396,1.84448,0.0017888,0.0017888,0.0017888
10,538.251,1.86357,1.20965,1.63632,0.86112,0.815,0.89629,0.44245,1.79434,1.10238,1.62716,0.0017624,0.0017624,0.0017624
11,591.639,1.85092,1.17358,1.61777,0.83586,0.81492,0.88695,0.43549,1.82677,1.13098,1.65153,0.001736,0.001736,0.001736
12,644.419,1.82387,1.168,1.59987,0.71773,0.69244,0.72571,0.27766,2.04851,1.38715,1.7607,0.0017096,0.0017096,0.0017096
13,697.278,1.81817,1.16825,1.57673,0.7328,0.72921,0.77363,0.33864,1.90644,1.30095,1.6587,0.0016832,0.0016832,0.0016832
14,750.738,1.77894,1.0966,1.55305,0.89154,0.84912,0.92228,0.49275,1.68822,1.01286,1.52352,0.0016568,0.0016568,0.0016568
15,804.026,1.75505,1.07386,1.53683,0.84798,0.82076,0.89293,0.4363,1.76361,1.0525,1.57151,0.0016304,0.0016304,0.0016304
16,856.595,1.75398,1.068,1.53398,0.86959,0.83478,0.90295,0.4492,1.79703,1.12654,1.61094,0.001604,0.001604,0.001604
17,908.911,1.74633,1.05452,1.51894,0.90253,0.88093,0.94173,0.52214,1.63227,0.95918,1.47537,0.0015776,0.0015776,0.0015776
18,961.115,1.72232,1.02496,1.50856,0.8994,0.88782,0.94257,0.50232,1.64929,0.96829,1.4995,0.0015512,0.0015512,0.0015512
19,1013.18,1.71141,1.00955,1.49976,0.84815,0.83965,0.89833,0.45117,1.73646,1.07118,1.54227,0.0015248,0.0015248,0.0015248
20,1065.83,1.69479,1.00609,1.48336,0.8976,0.87148,0.93588,0.51156,1.64137,1.00357,1.48318,0.0014984,0.0014984,0.0014984
21,1118.65,1.70148,1.01187,1.48626,0.91995,0.90187,0.95206,0.53693,1.59947,0.91205,1.45782,0.001472,0.001472,0.001472
22,1171.38,1.65711,0.95927,1.4591,0.93202,0.8997,0.95477,0.54697,1.5967,0.85147,1.42504,0.0014456,0.0014456,0.0014456
23,1224.32,1.67987,0.97566,1.46758,0.88582,0.87168,0.93014,0.49878,1.65302,0.97663,1.49995,0.0014192,0.0014192,0.0014192
24,1276.84,1.66571,0.95992,1.45417,0.88623,0.87675,0.92897,0.50367,1.68817,0.95252,1.52715,0.0013928,0.0013928,0.0013928
25,1329.22,1.63719,0.9332,1.43505,0.92987,0.91276,0.95934,0.55049,1.58671,0.84585,1.43966,0.0013664,0.0013664,0.0013664
26,1382.56,1.65034,0.93817,1.44593,0.93064,0.91208,0.95908,0.55479,1.59067,0.84387,1.45015,0.00134,0.00134,0.00134
27,1435.04,1.62934,0.92454,1.42881,0.92223,0.90702,0.95656,0.5441,1.58074,0.85438,1.44206,0.0013136,0.0013136,0.0013136
28,1487.44,1.6055,0.90257,1.42629,0.91975,0.91987,0.95878,0.54899,1.56758,0.85938,1.44117,0.0012872,0.0012872,0.0012872
29,1540.83,1.61687,0.90781,1.4245,0.87175,0.88347,0.92903,0.49629,1.70589,0.95225,1.55063,0.0012608,0.0012608,0.0012608
30,1593.2,1.59416,0.89787,1.40986,0.91644,0.91297,0.95816,0.55703,1.55115,0.83624,1.42083,0.0012344,0.0012344,0.0012344
31,1645.73,1.60011,0.90041,1.41434,0.93949,0.92217,0.96558,0.57151,1.54041,0.79697,1.41276,0.001208,0.001208,0.001208
32,1698.26,1.58378,0.88669,1.40158,0.87281,0.86057,0.91872,0.48882,1.71784,0.95236,1.55971,0.0011816,0.0011816,0.0011816
33,1750.28,1.59191,0.87777,1.40529,0.86714,0.86301,0.91714,0.47459,1.68469,0.9313,1.50506,0.0011552,0.0011552,0.0011552
34,1803.11,1.60386,0.88202,1.41266,0.91112,0.89531,0.94758,0.53092,1.62526,0.84918,1.4526,0.0011288,0.0011288,0.0011288
35,1855.47,1.56425,0.85587,1.39303,0.92224,0.9115,0.95534,0.54306,1.6292,0.82758,1.47648,0.0011024,0.0011024,0.0011024
36,1908.2,1.57684,0.86756,1.38988,0.92107,0.92367,0.9615,0.5627,1.53779,0.81238,1.41176,0.001076,0.001076,0.001076
37,1960.66,1.56655,0.86015,1.38487,0.94142,0.92785,0.96914,0.57685,1.53785,0.7796,1.39299,0.0010496,0.0010496,0.0010496
38,2012.71,1.54909,0.84763,1.37711,0.93917,0.92854,0.96817,0.57987,1.53481,0.76038,1.40463,0.0010232,0.0010232,0.0010232
39,2065.18,1.55749,0.84517,1.38095,0.92597,0.92075,0.96478,0.56506,1.5582,0.79439,1.41589,0.0009968,0.0009968,0.0009968
40,2117.55,1.57452,0.85132,1.38418,0.94065,0.93044,0.96841,0.5783,1.53374,0.76674,1.39244,0.0009704,0.0009704,0.0009704
41,2170.04,1.55114,0.84811,1.37739,0.9169,0.91607,0.95688,0.55139,1.59464,0.8242,1.46952,0.000944,0.000944,0.000944
42,2222.55,1.54986,0.83563,1.37779,0.91541,0.91753,0.95813,0.53785,1.59749,0.80897,1.45815,0.0009176,0.0009176,0.0009176
43,2275.04,1.52748,0.81613,1.36385,0.94579,0.936,0.97095,0.5881,1.52973,0.74428,1.40305,0.0008912,0.0008912,0.0008912
44,2326.85,1.52683,0.81611,1.36205,0.91973,0.91792,0.96085,0.56386,1.56032,0.78549,1.44303,0.0008648,0.0008648,0.0008648
45,2379.79,1.54176,0.82871,1.36712,0.92543,0.91578,0.9593,0.55164,1.60009,0.79609,1.45462,0.0008384,0.0008384,0.0008384
46,2432.16,1.51002,0.79633,1.35342,0.9041,0.92055,0.95436,0.54936,1.58164,0.78435,1.44831,0.000812,0.000812,0.000812
47,2484.55,1.54034,0.81638,1.36929,0.94219,0.92986,0.96657,0.57885,1.53222,0.76097,1.40965,0.0007856,0.0007856,0.0007856
48,2536.67,1.52819,0.81143,1.35661,0.92719,0.92861,0.96417,0.57088,1.5393,0.76373,1.39505,0.0007592,0.0007592,0.0007592
49,2588.87,1.50689,0.8013,1.34976,0.9334,0.92931,0.96672,0.57133,1.57578,0.75996,1.44298,0.0007328,0.0007328,0.0007328
50,2641.85,1.52663,0.80873,1.35393,0.9231,0.92523,0.9626,0.55285,1.59086,0.78224,1.44909,0.0007064,0.0007064,0.0007064
51,2693.98,1.52342,0.80173,1.35343,0.94275,0.93311,0.96962,0.57878,1.57788,0.75096,1.44326,0.00068,0.00068,0.00068
52,2747.22,1.51132,0.80197,1.35005,0.92523,0.92649,0.9623,0.56369,1.57509,0.78055,1.44472,0.0006536,0.0006536,0.0006536
53,2800.07,1.51044,0.79545,1.34691,0.94642,0.93847,0.97066,0.58748,1.5376,0.73913,1.41531,0.0006272,0.0006272,0.0006272
54,2852.36,1.50863,0.80121,1.35314,0.94191,0.93282,0.9699,0.57868,1.53995,0.75791,1.42057,0.0006008,0.0006008,0.0006008
55,2904.31,1.51781,0.79406,1.35567,0.93746,0.93117,0.96961,0.5773,1.54706,0.74313,1.42224,0.0005744,0.0005744,0.0005744
56,2957.27,1.50467,0.78432,1.33904,0.92433,0.92863,0.96334,0.56914,1.55283,0.75537,1.42516,0.000548,0.000548,0.000548
57,3010.13,1.48673,0.77565,1.33373,0.94436,0.93477,0.97066,0.58554,1.55227,0.73864,1.42889,0.0005216,0.0005216,0.0005216
58,3062.61,1.49748,0.77501,1.3371,0.94823,0.94119,0.97291,0.59183,1.5208,0.72109,1.4095,0.0004952,0.0004952,0.0004952
59,3115.79,1.48083,0.76978,1.3275,0.92174,0.92766,0.96368,0.56936,1.53803,0.75805,1.41813,0.0004688,0.0004688,0.0004688
60,3168.95,1.48974,0.77409,1.32791,0.92969,0.93701,0.96672,0.5824,1.52526,0.74135,1.4129,0.0004424,0.0004424,0.0004424
61,3221.79,1.49205,0.77818,1.33353,0.9471,0.941,0.97263,0.59305,1.53726,0.71962,1.42329,0.000416,0.000416,0.000416
62,3274,1.4807,0.76746,1.33034,0.94453,0.93856,0.97123,0.58889,1.54038,0.72536,1.42618,0.0003896,0.0003896,0.0003896
63,3326.43,1.49271,0.77043,1.33964,0.93619,0.93855,0.97007,0.5895,1.5126,0.72852,1.39822,0.0003632,0.0003632,0.0003632
64,3378.87,1.49207,0.77185,1.33151,0.93366,0.93418,0.96855,0.5814,1.5332,0.73754,1.41791,0.0003368,0.0003368,0.0003368
65,3431.29,1.47273,0.76437,1.32449,0.9264,0.92649,0.96469,0.57054,1.56699,0.75078,1.43818,0.0003104,0.0003104,0.0003104
66,3479.43,1.44781,0.73337,1.32604,0.93544,0.9335,0.96869,0.58215,1.54255,0.72226,1.42726,0.000284,0.000284,0.000284
67,3527.7,1.43875,0.72249,1.31691,0.95032,0.94421,0.97539,0.60007,1.49041,0.69899,1.38313,0.0002576,0.0002576,0.0002576
68,3575.33,1.4351,0.72248,1.31731,0.95097,0.94373,0.97486,0.60271,1.48719,0.70452,1.38503,0.0002312,0.0002312,0.0002312
69,3622.78,1.43256,0.714,1.31923,0.94531,0.94587,0.97367,0.5939,1.49937,0.69416,1.39212,0.0002048,0.0002048,0.0002048
70,3670.32,1.42752,0.71214,1.31649,0.95408,0.94666,0.97552,0.60762,1.48019,0.68476,1.37928,0.0001784,0.0001784,0.0001784
71,3718.19,1.41882,0.70514,1.307,0.95454,0.94869,0.97708,0.6103,1.47892,0.68152,1.36952,0.000152,0.000152,0.000152
72,3766.22,1.42617,0.7107,1.3129,0.94852,0.93995,0.97441,0.60192,1.49343,0.69674,1.39198,0.0001256,0.0001256,0.0001256
73,3813.87,1.42577,0.7113,1.31125,0.95085,0.94324,0.97537,0.60378,1.48331,0.6923,1.38219,9.92e-05,9.92e-05,9.92e-05
74,3861.22,1.41588,0.71063,1.31216,0.95587,0.94895,0.97709,0.60627,1.48577,0.68249,1.38255,7.28e-05,7.28e-05,7.28e-05
75,3908.87,1.40402,0.69786,1.30082,0.95336,0.94684,0.9774,0.6099,1.47604,0.68242,1.37295,4.64e-05,4.64e-05,4.64e-05
