epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2226.82,1.55544,0.83198,1.44407,0.92998,0.91103,0.94903,0.55517,1.57777,0.76833,1.54153,0.0009176,0.0009176,0.0009176
43,2278.98,1.55048,0.82677,1.44032,0.93206,0.9186,0.9539,0.56106,1.54156,0.76934,1.51693,0.0008912,0.0008912,0.0008912
44,2331.71,1.54426,0.82407,1.43396,0.90794,0.9067,0.94107,0.53524,1.59691,0.80729,1.55625,0.0008648,0.0008648,0.0008648
45,2384.19,1.56376,0.82971,1.4391,0.89395,0.87758,0.92177,0.49342,1.67642,0.86394,1.60311,0.0008384,0.0008384,0.0008384
46,2436.39,1.55797,0.83142,1.43933,0.91504,0.90633,0.94367,0.55411,1.56728,0.81927,1.53509,0.000812,0.000812,0.000812
47,2488.9,1.52504,0.80891,1.42019,0.93192,0.92579,0.95437,0.56903,1.52028,0.76061,1.49719,0.0007856,0.0007856,0.0007856
48,2540.72,1.53684,0.80541,1.43019,0.94229,0.92116,0.95572,0.57951,1.51695,0.73277,1.49683,0.0007592,0.0007592,0.0007592
49,2593.58,1.52944,0.80115,1.42157,0.93202,0.92597,0.95363,0.55981,1.54333,0.76088,1.51519,0.0007328,0.0007328,0.0007328
50,2646.57,1.54301,0.80946,1.42549,0.92966,0.91713,0.94952,0.5558,1.57213,0.75577,1.53334,0.0007064,0.0007064,0.0007064
51,2698.99,1.51836,0.7976,1.41091,0.93089,0.92548,0.95253,0.56115,1.56117,0.73888,1.52919,0.00068,0.00068,0.00068
52,2752.02,1.5315,0.80058,1.42045,0.9391,0.92782,0.95924,0.5795,1.51182,0.72771,1.49058,0.0006536,0.0006536,0.0006536
53,2804.97,1.50983,0.78444,1.40805,0.94567,0.93403,0.9598,0.58449,1.51503,0.71344,1.48891,0.0006272,0.0006272,0.0006272
54,2857.45,1.52182,0.78822,1.41698,0.93908,0.92912,0.95664,0.57739,1.51039,0.72288,1.4834,0.0006008,0.0006008,0.0006008
55,2910.15,1.52216,0.7939,1.41809,0.91974,0.91594,0.94772,0.53682,1.5947,0.76347,1.54587,0.0005744,0.0005744,0.0005744
56,2962.83,1.51522,0.78321,1.40995,0.93621,0.92735,0.95621,0.58151,1.49908,0.72706,1.48538,0.000548,0.000548,0.000548
57,3015.6,1.50874,0.77895,1.40408,0.942,0.93059,0.96035,0.58541,1.48784,0.70858,1.4717,0.0005216,0.0005216,0.0005216
58,3068.76,1.51414,0.77494,1.40218,0.93758,0.93,0.95825,0.56689,1.54129,0.72444,1.50563,0.0004952,0.0004952,0.0004952
59,3121.58,1.49942,0.7763,1.39999,0.94,0.92735,0.95795,0.58008,1.52513,0.71459,1.49969,0.0004688,0.0004688,0.0004688
