epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.9925,3.38946,3.48661,3.64752,0.01886,0.13409,0.01033,0.00395,nan,nan,nan,0.000663399,0.000663399,0.000663399
2,123.883,2.53718,1.92069,2.36119,0.46439,0.50446,0.45851,0.15501,2.28674,1.80535,2.15441,0.00131251,0.00131251,0.00131251
3,178.771,2.27183,1.69029,2.0935,0.51793,0.54621,0.50581,0.15943,2.36904,1.64671,2.14158,0.00194402,0.00194402,0.00194402
4,232.943,2.17412,1.56698,1.95995,0.66438,0.63208,0.68884,0.2723,2.06179,1.40874,1.95279,0.0019208,0.0019208,0.0019208
5,287.718,2.08876,1.49528,1.89346,0.70725,0.68633,0.74607,0.3107,1.97734,1.34544,1.88938,0.0018944,0.0018944,0.0018944
6,342.084,2.04294,1.41419,1.82863,0.78128,0.71952,0.78532,0.32968,1.97664,1.30725,1.87171,0.001868,0.001868,0.001868
7,395.79,1.98962,1.34249,1.79539,0.76086,0.70129,0.77085,0.3237,2.01242,1.22942,1.86415,0.0018416,0.0018416,0.0018416
8,450.155,1.96296,1.29478,1.74958,0.81227,0.75449,0.827,0.36967,1.95647,1.17877,1.81452,0.0018152,0.0018152,0.0018152
9,504.481,1.91725,1.25522,1.7084,0.75986,0.77063,0.80517,0.36208,1.8337,1.19956,1.74589,0.0017888,0.0017888,0.0017888
10,558.242,1.88953,1.22546,1.67879,0.80345,0.79778,0.85312,0.40216,1.82984,1.15661,1.73383,0.0017624,0.0017624,0.0017624
11,613.489,1.87138,1.19802,1.66261,0.70828,0.70541,0.73322,0.31118,2.04423,1.28494,1.85545,0.001736,0.001736,0.001736
12,667.67,1.82625,1.15906,1.64451,0.66548,0.72062,0.69712,0.28499,1.97351,1.29508,1.81812,0.0017096,0.0017096,0.0017096
13,721.615,1.81216,1.14032,1.6156,0.87879,0.82448,0.90288,0.4527,1.77133,1.00398,1.64125,0.0016832,0.0016832,0.0016832
14,775.972,1.78138,1.09953,1.5934,0.88163,0.83499,0.90966,0.47094,1.72143,1.04333,1.62111,0.0016568,0.0016568,0.0016568
15,830.079,1.76663,1.08456,1.57566,0.80933,0.78501,0.84173,0.40002,1.87028,1.21294,1.72206,0.0016304,0.0016304,0.0016304
16,883.53,1.76914,1.07949,1.5783,0.86656,0.8449,0.90278,0.44264,1.8163,1.0171,1.68764,0.001604,0.001604,0.001604
17,937.373,1.76898,1.07182,1.57519,0.89446,0.86608,0.93173,0.50134,1.6744,0.93811,1.60154,0.0015776,0.0015776,0.0015776
18,990.912,1.72399,1.02128,1.54676,0.90802,0.87898,0.93973,0.51632,1.66282,0.89427,1.56332,0.0015512,0.0015512,0.0015512
19,1045.06,1.71725,1.01869,1.5335,0.84112,0.82753,0.87853,0.39536,1.88632,1.09426,1.72834,0.0015248,0.0015248,0.0015248
20,1098.95,1.70326,1.00788,1.52994,0.91635,0.88604,0.94761,0.51933,1.65561,0.87816,1.55891,0.0014984,0.0014984,0.0014984
21,1152.85,1.67884,0.98908,1.50639,0.89211,0.8715,0.93033,0.48983,1.70697,0.93568,1.60141,0.001472,0.001472,0.001472
