epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.0476,3.20067,3.67201,3.45516,0.05025,0.33053,0.03201,0.00882,3.29798,inf,4.28514,0.000663399,0.000663399,0.000663399
2,117.229,2.45866,1.89463,2.29742,0.24882,0.36285,0.19888,0.05233,2.49225,2.15903,2.28294,0.00131251,0.00131251,0.00131251
3,170.76,2.24025,1.67224,2.02939,0.12895,0.17333,0.06516,0.01339,3.20261,2.76386,2.56098,0.00194402,0.00194402,0.00194402
4,223.132,2.14531,1.5428,1.92894,0.69785,0.64178,0.70551,0.28183,2.04043,1.45728,1.91576,0.0019208,0.0019208,0.0019208
5,275.753,2.0659,1.4737,1.8649,0.59215,0.65947,0.61479,0.22874,2.038,1.56475,1.92105,0.0018944,0.0018944,0.0018944
6,329.248,2.04582,1.433,1.81576,0.72143,0.70801,0.77847,0.34195,1.86985,1.78049,1.79898,0.001868,0.001868,0.001868
7,381.389,1.97598,1.34567,1.75762,0.79916,0.76881,0.82937,0.37184,1.90529,1.27326,1.79919,0.0018416,0.0018416,0.0018416
8,434.331,1.95864,1.28915,1.72382,0.6142,0.62514,0.61994,0.22977,2.17088,1.47527,1.90708,0.0018152,0.0018152,0.0018152
9,487.398,1.93303,1.25601,1.69642,0.78912,0.77203,0.83228,0.37922,1.86474,1.24605,1.75058,0.0017888,0.0017888,0.0017888
10,540.237,1.89631,1.22974,1.66997,0.77103,0.76814,0.81938,0.36866,1.86093,1.21236,1.74231,0.0017624,0.0017624,0.0017624
11,593.735,1.86493,1.18748,1.64253,0.85068,0.81462,0.88442,0.43175,1.77573,1.15998,1.6596,0.001736,0.001736,0.001736
12,646.225,1.83891,1.17228,1.62823,0.82748,0.79888,0.86841,0.41895,1.78527,1.10754,1.65937,0.0017096,0.0017096,0.0017096
13,699.429,1.80496,1.10904,1.58,0.87845,0.85164,0.9172,0.48099,1.67856,1.01879,1.57499,0.0016832,0.0016832,0.0016832
14,751.83,1.78545,1.09242,1.56174,0.79743,0.77552,0.83716,0.37757,1.87001,1.18092,1.69896,0.0016568,0.0016568,0.0016568
15,805.101,1.77141,1.08177,1.54948,0.85449,0.83384,0.89652,0.44019,1.77019,1.09634,1.63523,0.0016304,0.0016304,0.0016304
16,857.961,1.77402,1.08284,1.55808,0.87426,0.85311,0.91606,0.4804,1.68653,1.04557,1.55448,0.001604,0.001604,0.001604
17,910.465,1.75701,1.06108,1.54064,0.86382,0.82531,0.89771,0.46746,1.69207,1.07344,1.56225,0.0015776,0.0015776,0.0015776
18,962.672,1.73703,1.04002,1.53101,0.88367,0.85507,0.92111,0.48081,1.681,1.05816,1.55999,0.0015512,0.0015512,0.0015512
19,1015.56,1.72938,1.03016,1.51454,0.86756,0.86354,0.91891,0.49232,1.65928,1.04774,1.56153,0.0015248,0.0015248,0.0015248
20,1068.51,1.69704,0.99451,1.49267,0.90975,0.89407,0.94564,0.52474,1.59723,0.9006,1.4999,0.0014984,0.0014984,0.0014984
21,1121.42,1.68019,0.98005,1.48055,0.83505,0.84279,0.88476,0.42522,1.73828,1.07867,1.60173,0.001472,0.001472,0.001472
22,1174.18,1.68449,0.98363,1.48232,0.91507,0.89702,0.94949,0.53087,1.60655,0.90361,1.50297,0.0014456,0.0014456,0.0014456
23,1227.62,1.68274,0.98347,1.47509,0.90172,0.88689,0.93742,0.50154,1.64422,0.95617,1.51898,0.0014192,0.0014192,0.0014192
24,1280.98,1.67857,0.96823,1.46533,0.86981,0.88074,0.92084,0.47539,1.67916,0.98667,1.54333,0.0013928,0.0013928,0.0013928
25,1333.56,1.65006,0.95395,1.45111,0.83574,0.81963,0.88201,0.4422,1.73768,1.02116,1.58895,0.0013664,0.0013664,0.0013664
26,1386.57,1.64392,0.94838,1.45144,0.86176,0.84711,0.90788,0.45099,1.74001,0.99188,1.57985,0.00134,0.00134,0.00134
27,1439.22,1.63729,0.924,1.44258,0.88228,0.85595,0.91992,0.49756,1.6446,0.95756,1.51209,0.0013136,0.0013136,0.0013136
28,1491.81,1.63314,0.92559,1.4438,0.92455,0.90976,0.9572,0.54168,1.58085,0.8825,1.47926,0.0012872,0.0012872,0.0012872
29,1544.47,1.62903,0.92477,1.43969,0.86611,0.86848,0.91706,0.46857,1.71134,1.0076,1.55985,0.0012608,0.0012608,0.0012608
30,1597.4,1.62584,0.91162,1.43208,0.91306,0.9025,0.95143,0.52746,1.59994,0.85955,1.47864,0.0012344,0.0012344,0.0012344
31,1650.19,1.61253,0.89065,1.4219,0.92307,0.91745,0.95945,0.54884,1.57198,0.80847,1.45605,0.001208,0.001208,0.001208
32,1702.83,1.59165,0.88754,1.41148,0.92897,0.91714,0.95827,0.53998,1.58335,0.83209,1.46472,0.0011816,0.0011816,0.0011816
33,1756.54,1.60145,0.88166,1.41184,0.90957,0.92355,0.95713,0.54856,1.53616,0.82417,1.44191,0.0011552,0.0011552,0.0011552
34,1808.9,1.57688,0.85592,1.39969,0.91341,0.90411,0.95022,0.52737,1.60599,0.85234,1.4814,0.0011288,0.0011288,0.0011288
35,1862.49,1.59687,0.86989,1.40691,0.92361,0.89965,0.95139,0.53462,1.58614,0.82779,1.47462,0.0011024,0.0011024,0.0011024
36,1914.89,1.57383,0.85458,1.39441,0.92616,0.9166,0.96031,0.55329,1.60303,0.80299,1.48292,0.001076,0.001076,0.001076
37,1967.98,1.58851,0.87085,1.41265,0.91932,0.91668,0.95571,0.5426,1.58057,0.83264,1.46926,0.0010496,0.0010496,0.0010496
38,2020.53,1.57664,0.85843,1.39687,0.93713,0.9324,0.96889,0.57626,1.50014,0.78242,1.41581,0.0010232,0.0010232,0.0010232
39,2072.98,1.57238,0.84724,1.39237,0.89981,0.89744,0.94361,0.5186,1.64805,0.83921,1.51015,0.0009968,0.0009968,0.0009968
40,2126.03,1.56611,0.83733,1.38072,0.91993,0.9106,0.95529,0.52758,1.59812,0.82357,1.47539,0.0009704,0.0009704,0.0009704
41,2178.7,1.56406,0.85089,1.39245,0.93474,0.92458,0.96451,0.57451,1.51544,0.78203,1.42762,0.000944,0.000944,0.000944
42,2231.11,1.55264,0.83374,1.38246,0.92073,0.9246,0.96288,0.55695,1.54013,0.80182,1.43732,0.0009176,0.0009176,0.0009176
43,2283.97,1.54926,0.82752,1.38032,0.915,0.90566,0.9514,0.52268,1.62657,0.81229,1.49413,0.0008912,0.0008912,0.0008912
44,2336.97,1.54252,0.82019,1.37395,0.90369,0.90007,0.947,0.53043,1.60361,0.8476,1.48957,0.0008648,0.0008648,0.0008648
